mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,mention_type,explicit_payload,explicit_locator,effective_locator,relation_type,relation_surface,antecedent_mention_id,explicit_author,inherited_author,inherited_work_id,resolved_work_id,candidate_work_ids,resolution,resolution_method,confidence,abbreviation,abbreviation_expansion,source_family,warnings
mention-0480,ИСТОЧНИК_ВЕРСИЯ_3.docx,128,128,1,Ibid. P. XXXVI.,relational_reference,P. XXXVI.,,,same_work,Ibid.,mention-0479,,,korneeva-institution-019,korneeva-institution-019,korneeva-institution-019,resolved_relation,same_work_previous_citation,1.0,,,,
mention-0481,ИСТОЧНИК_ВЕРСИЯ_3.docx,129,129,1,Ibid. XVIII.,relational_reference,XVIII.,,,same_work,Ibid.,mention-0480,,,korneeva-institution-019,korneeva-institution-019,korneeva-institution-019,resolved_relation,same_work_previous_citation,1.0,,,,
mention-0482,ИСТОЧНИК_ВЕРСИЯ_3.docx,130,130,1,Ibid. P. XVIII.,relational_reference,P. XVIII.,,,same_work,Ibid.,mention-0481,,,korneeva-institution-019,korneeva-institution-019,korneeva-institution-019,resolved_relation,same_work_previous_citation,1.0,,,,
mention-0483,ИСТОЧНИК_ВЕРСИЯ_3.docx,131,131,1,"Ibid.: «Con fos pleyt longament estat en la cort de Roma per !frare Amau de Castelnou, Maestre en Aragon s e en Cataluyna, e per los frares de la cavaleria del Temple demanant de la una part, e els ciutadans de la ciutat de Tortosa defenent de l'altra; demanavan lo dit Maestre e els frares que les costumes de Tortosa fossen meses en escrit…». P. 2.",relational_reference,"«Con fos pleyt longament estat en la cort de Roma per !frare Amau de Castelnou, Maestre en Aragon s e en Cataluyna, e per los frares de la cavaleria del Temple demanant de la una part, e els ciutadans de la ciutat de Tortosa defenent de l'altra; demanavan lo dit Maestre e els frares que les costumes de Tortosa fossen meses en escrit…». P. 2.",P. 2,P. 2,same_work,Ibid.:,mention-0482,,,korneeva-institution-019,korneeva-institution-019,korneeva-institution-019,resolved_relation,same_work_previous_citation,1.0,,,,
mention-0484,ИСТОЧНИК_ВЕРСИЯ_3.docx,132,132,1,Ibid.: «les Costumes romanguessen encara massa longues e escures e duptoses…». P. 3.,relational_reference,«les Costumes romanguessen encara massa longues e escures e duptoses…». P. 3.,P. 3,P. 3,same_work,Ibid.:,mention-0483,,,korneeva-institution-019,korneeva-institution-019,korneeva-institution-019,resolved_relation,same_work_previous_citation,1.0,,,,
mention-0485,ИСТОЧНИК_ВЕРСИЯ_3.docx,133,133,1,"Ibid.: «adobar, mudar e abreviar ... a lur discreció». P. 3.",relational_reference,"«adobar, mudar e abreviar ... a lur discreció». P. 3.",P. 3,P. 3,same_work,Ibid.:,mention-0484,,,korneeva-institution-019,korneeva-institution-019,korneeva-institution-019,resolved_relation,same_work_previous_citation,1.0,,,,
mention-0486,ИСТОЧНИК_ВЕРСИЯ_3.docx,134,134,1,"Llibre de les costums generals scrites de la insigne ciutat de Tortosa: ab alguns privilegis, confirmacions e sentencies fahents per a la administració de justicia / ed. J. Amich. Tortosa, 1539. 1 vol.",possible_reference,"Llibre de les costums generals scrites de la insigne ciutat de Tortosa: ab alguns privilegis, confirmacions e sentencies fahents per a la administració de justicia / ed. J. Amich. Tortosa, 1539. 1 vol.",,,,,,,,,korneeva-sources-032,korneeva-sources-032,resolved_explicit,exact_title,0.98,,,,
mention-0487,ИСТОЧНИК_ВЕРСИЯ_3.docx,135,135,1,"Costums de Tortosa; Libre de les costums generals scrites de la insigne ciutat de Tortosa: texto auténtico de siglo XIII que da a luz nuevamente, ilustrado con observaciones crítico-literarias y un copioso vocabulario / ed. B. Oliver y Esteller. Madrid: Impr. de M. Ginesta, 1881.",short_title_reference,"Costums de Tortosa; Libre de les costums generals scrites de la insigne ciutat de Tortosa: texto auténtico de siglo XIII que da a luz nuevamente, ilustrado con observaciones crítico-literarias y un copioso vocabulario / ed. B. Oliver y Esteller. Madrid: Impr. de M. Ginesta, 1881.",,,,,,,,,korneeva-sources-015,korneeva-sources-015,resolved_explicit,source_family_unique,0.97,,,costums_de_tortosa,
mention-0488,ИСТОЧНИК_ВЕРСИЯ_3.docx,136,136,1,"Libre de les costums escrites de la ciutat de Tortosa: texto catalán (auténtico) enriquecido con las variantes de códices anteriores al siglo XV / ed. R. Foguet. Barcelona: C. Verdaguer, 1878–1881.",possible_reference,"Libre de les costums escrites de la ciutat de Tortosa: texto catalán (auténtico) enriquecido con las variantes de códices anteriores al siglo XV / ed. R. Foguet. Barcelona: C. Verdaguer, 1878–1881.",,,,,,,,,korneeva-sources-030,korneeva-sources-030,resolved_explicit,exact_title,0.98,,,,
mention-0489,ИСТОЧНИК_ВЕРСИЯ_3.docx,137,137,1,"Código de las costumbres escritas de Tortosa a doble texto, traducido al castellano del más auténtico ejemplar catalán / ed. R. Foguet; continuada por J. Foguet Marsal. Tortosa: Impr. Querol, 1912.",possible_reference,"Código de las costumbres escritas de Tortosa a doble texto, traducido al castellano del más auténtico ejemplar catalán / ed. R. Foguet; continuada por J. Foguet Marsal. Tortosa: Impr. Querol, 1912.",,,,,,,,,korneeva-sources-016,korneeva-sources-016,resolved_explicit,exact_title,0.98,,,,
