mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,kind,locator,matched_key,match_score,match_method,resolution,abbreviation,abbreviation_expansion
mention-0221,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,139,139,1,"The Languages of Early Medieval Charters. Latin, German Vernaculars, and the Written Word / ed. R. Gallagher, E. Roberts, F. Tinti. Boston; Leiden: Brill, 2021. 548 p. (Brill’s Series on the Early Middle Ages, T. 27)",full_reference,,korneeva-research-136,0.721,token_overlap,matched,,
mention-0222,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,140,140,1,"Tinti F. Latin and Germanic Vernaculars in Early Medieval Documentary Cultures: Towards a Multidisciplinary Comparative Approach // The Languages of Early Medieval Charters. Latin, German Vernaculars, and the Written Word / Ed. by R. Gallagher, E. Roberts, F. Tinti. Boston; Leiden: Brill, 2021. P. 3.",full_reference,P. 3,korneeva-research-136,0.663,token_overlap,matched,,
mention-0223,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,141,141,1,"Languages and Communities in the Late-Roman and Post-Imperial Western Provinces / Ed. by Mullen A., Woudhuysen G. Oxford: Oxford University Press, 2023.",full_reference,,,0.192,below_threshold,unresolved,,
mention-0224,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,142,142,1,"Velázquez I. Reflections on the Latin Language Spoken and Written in Visigothic Hispania // Languages and Communities in the Late-Roman and Post-Imperial Western Provinces / ed. by Mullen A., Woudhuysen G. Oxford: Oxford University Press, 2023. P. 58–84",full_reference,P. 58–84,,0.182,below_threshold,unresolved,,
mention-0225,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,142,142,2,Barrett G. Conservatism in Language: Framing Latin in Late Antique and Early Medieval Iberia // Ibid. P. 85–125.,full_reference,P. 85–125,,0.257,below_threshold,unresolved,,
mention-0226,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,143,143,1,"Pollock F., Maitland F.W. The History of English Law before the Time of Edward I. 2nd ed. Cambridge: Cambridge University Press, 1898. Vol. 2. P. 83–86.",full_reference,Vol. 2; P. 83–86,,0.253,below_threshold,unresolved,,
mention-0227,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,144,144,1,"Stenton F.M. Anglo-Saxon England. 2nd ed. Oxford: Clarendon Press, 1947. P. 141",full_reference,P. 141,,0.208,below_threshold,unresolved,,
mention-0228,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,145,145,1,Chaplais P. The Origin and Authenticity of the Royal Anglo-Saxon Diploma // Journal of the Society of Archivists. 1965. Vol. 3. No. 2. P. 49–52.,full_reference,Vol. 3; No. 2.; P. 49–52,,0.114,below_threshold,unresolved,,
mention-0229,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,146,146,1,Clanchy M.T. Remembering the Past and the Good Old Law // History. 1970. Vol. 55. No. 184. P. 166–172,full_reference,Vol. 55; No. 184.; P. 166–172,,0.214,below_threshold,unresolved,,
mention-0230,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,146,146,2,"Idem. From Memory to Written Record: England, 1066–1307. Cambridge, Mass.: Harvard University Press, 1979. P. 116–117, 231–232. Также см. перевод статьи М.Т. Клэнчи на русский:",short_reference,"P. 116–117, 231–232; Т. Клэнчи на русский:",,0.193,below_threshold,unresolved,,
mention-0231,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,146,146,3,Клэнчи М. Воспоминания о прошлом и старый добрый закон // Vox medii aevi / под ред. Горбун Г.С.; пер.,full_reference,,korneeva-research-056,0.98,exact_title,matched,,
mention-0232,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,146,146,4,"Горбун Г.С., Заплатина А.А. СПб.: Перепечкин Кирилл Владимирович, 2015. № 2–3 (13–14). С. 112–128.",full_reference,С. 112–128,,0.14,below_threshold,unresolved,,
mention-0233,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,147,147,1,"Stock B. The implications of literacy: written language and models of interpretation in the eleventh and twelfth centuries. Princeton: Princeton University Press, 1983. P. 13–14.",full_reference,P. 13–14,,0.207,below_threshold,unresolved,,
mention-0234,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,148,148,1,"Banniard M. Viva voce: communication écrite et communication orale du IVe au IXe siècle en occident latin. Paris: Institut des études augustiniennes, 1992. P. 46–47. Эта работа была недавно переведена на итальянский язык и издана на нём с авторскими дополнениями. Подробнее см.",full_reference,P. 46–47,korneeva-research-180,0.98,exact_title,matched,,
mention-0235,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,148,148,2,"Аникьев И.И., Филиппов И.С.",commentary,,,,,not_bibliographic,,
mention-0236,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,148,148,3,"Banniard M. Viva voce: comunicazione scritta e comunicazione orale nell’occidente latino dal IV al IX secolo / Edizione italiana con una Retractatio dell’autore, a cura di L. Cristante e F. Romanini, con la collaborzione di J. Gesiot e V. Veronesi. Trieste: Edizione Università di Trieste, 2020. XVIII, 716 p. (Polymnia: Studi di filologia classica; 25).",full_reference,,,0.124,below_threshold,unresolved,,
mention-0237,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,148,148,4,"Баньяр М. Живая речь: письменная и устная коммуникация на латинском западе с IV по IX век / Итал. изд. с доп. автора; под ред. Л. Кристиани и Ф. Романини, при уч. Дж. Джезиота и В. Веронези. Триест: Издательство Университета Триеста, 2020. XVIII, 716 с. (Полимния: Исследования по классической филологии; 25) // СВ. 2021. Т. 82, № 3. С. 184–196.",full_reference,"Т. 82, № 3; С. 184–196",,0.175,below_threshold,unresolved,,
mention-0238,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,149,149,1,"Wright R. Review Article: Michel Banniard, Viva Voce // The Journal of Medieval Latin. Turnhout: Brepols, 1993. № 3. P. 90.",full_reference,P. 90,,0.275,below_threshold,unresolved,,
mention-0239,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,150,150,1,"Geary P.J. Phantoms of Remembrance: Memory and Oblivion at the End of the First Millennium. Princeton: Princeton University Press, 1996. P. 7.",full_reference,P. 7,,0.135,below_threshold,unresolved,,
mention-0240,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,151,151,1,"McKitterick R.D. Introduction // The Uses of Literacy in Early Mediaeval Europe. Cambridge: Cambridge University Press, 1990. P. 3.",full_reference,P. 3,,0.287,below_threshold,unresolved,,
mention-0241,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,152,152,1,"Zimmerman M.M. Écrire et lire en Catalogne (IXe–XIIe siècle). Madrid: Casa de Velázquez, 2003. Vol. 1. P. 2. (Bibliothèque de la Casa de Velázquez; vol. 23)",full_reference,Vol. 1; P. 2; vol. 23),korneeva-research-427,0.98,exact_title,matched,,
mention-0242,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,152,152,2,Idem. L’usage du droit wisigothique en Catalogne du IXe au XIIe siècle: Approches d'une signification culturelle // Mélanges de la Casa de Velázquez. 1973. Т. 9. P. 233–281,full_reference,Т. 9; P. 233–281,korneeva-research-432,0.98,exact_title,matched,,
mention-0243,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,152,152,3,Idem. L’usage du droit wisigothique en Catalogne du IXe au XIIe siècle: Approches d'une signification culturelle // Mélanges de la Casa de Velázquez. 1973. tome 9. P. 233–281,full_reference,P. 233–281,korneeva-research-432,0.98,exact_title,matched,,
mention-0244,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,152,152,4,"Idem. La représentation de la noblesse dans la version primitive des Usatges de Barcelone (milieu du XIIe siècle) // Cahiers de linguistique et de civilisation hispaniques médiévales. N° 25. Paris, 2002. P. 25.",full_reference,P. 25,korneeva-research-429,0.98,exact_title,matched,,
mention-0245,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,153,153,1,"Bowman J.A. Shifting Landmarks: Property, Proof, and Dispute in Catalonia around the Year 1000 / J.A. Bowman, Ithaca: Cornell University Press, 2004. 279 p.",full_reference,,korneeva-research-207,0.98,exact_title,matched,,
mention-0246,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,154,154,1,"Mostert M. Introduction // Medieval legal process: Physical, spoken and written performance in the Middle Ages / ed. M. Mostert, P. S. Barnwell. Turnhout: Brepols, 2011. P. 4–5. (Utrecht Studies in Medieval Literacy; T. 22)",full_reference,P. 4–5,,0.249,below_threshold,unresolved,,
mention-0247,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,155,155,1,"Barnwell P.S. Action, speech and writing in early Frankish legal proceedings // Medieval legal process: Physical, spoken and written performance in the Middle Ages / ed. M. Mostert, P.S. Barnwell. Turnhout, 2011. P. 23–24.",full_reference,P. 23–24,,0.364,below_threshold,unresolved,,
mention-0248,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,156,156,1,"Brown W.C. The gesta municipalia and the public validation of documents in Frankish Europe // Documentary Culture and the Laity in the Early Middle Ages / ed. by W.C. Brown, M. Costambeys, M. Innes and A.J. Kosto. Cambridge: Cambridge University Press, 2012. P. 95.",full_reference,P. 95,korneeva-research-132,0.651,token_overlap,matched,,
mention-0249,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,157,157,1,Подробнее о значении и истории термина см.,possible_reference,,,0.213,below_threshold,unresolved,,
mention-0250,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,157,157,2,"Жоно Э. Translatio studii: перенесение учёности (одна из тем Жильсона) // Интеллектуальные традиции Античности и Средних веков (исследования и переводы) / Сост. и общ. ред., пер. М.С. Петровой. М.: Кругъ, 2010. C. 238–294.",full_reference,,korneeva-research-045,0.98,exact_title,matched,,
mention-0251,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,158,158,1,"Copeland R. Introduction // Rhetoric, Hermeneutics, and Translation in the Middle Ages: Academic Traditions and Vernacular Texts. Cambridge: Cambridge University Press, 1991. P. 5.",full_reference,P. 5,,0.268,below_threshold,unresolved,,
mention-0252,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,159,159,1,"Buridant C. Le rôle des traductions médiévales dans l'évolution de la langue française et la constitution de sa grammaire // Médiévales. 2003. № 45. P. 77. URL: http://journals.openedition.org/medievales/637; DOI : https://doi.org/10.4000/medievales.637É, (last access: 02.05.2026).",full_reference,P. 77,,0.32,below_threshold,unresolved,,
mention-0253,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,160,160,1,"Badia L., Santanach J., Soler A. Ramon Llull as a Vernacular Writer: Communicating a New Kind of Knowledge. Woodbridge: Tamesis, 2016. P. 235.",full_reference,P. 235,,0.077,below_threshold,unresolved,,
mention-0254,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,161,161,1,"Рамон Льюль (1232–1316?) — каталонский религиозный деятель, писатель, поэт, создатель каталанского литературного языка (см. Луллий Раймунд // Большая российская энциклопедия: научно-образовательный портал.  URL: https://bigenc.ru/c/lullii-raimond-c3a7be/?v=8844626 (Дата обращения: 03.11.2023).",full_reference,,,0.307,below_threshold,unresolved,,
mention-0255,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,162,162,1,Castillo Lluch M. Translación y variación lingüística en Castilla (siglo XIII): la lengua de las traducciones // Cahiers d'études hispaniques médiévales. 2005. № 28. P. 131–144.,full_reference,P. 131–144,,0.257,below_threshold,unresolved,,
mention-0256,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,163,163,1,Boureau A. L’écriture comme prisme. Contraintes et créations des scribes médiévaux // L’Atelier du Centre de recherches historiques. Revue électronique du CRH. 2017. № 16 Bis. URL: https://journals.openedition.org/acrh/7479 (last acess: 04.11.2025).,full_reference,,,0.142,below_threshold,unresolved,,
